Question,Template
What is this photo taken looking through? <extra_id_0>,The photo taken looking through is [mask].
What position is this man playing? <extra_id_0>,The man is playing [mask].
What color is the players shirt? <extra_id_0>,The color of the players shirt is [mask].
Is this man a professional baseball player? <extra_id_0>,This man is a professional baseball player.
What color is the snow? <extra_id_0>,The snow is [mask].
What is the person doing? <extra_id_0>,The person is doing [mask].
What color is the persons headwear? <extra_id_0>,The persons headwear is [mask].
What is in the person's hand? <extra_id_0>,The person's hand is [mask].
Is the dog waiting? <extra_id_0>,The dog is waiting.
Is the dog looking at a tennis ball or frisbee? <extra_id_0>,The dog is looking at tennis ball.
Is the sky blue? <extra_id_0>,The sky is blue.
Is there snow on the mountains? <extra_id_0>,The mountains are snow covered.
What is the white streak? <extra_id_0>,The white streak is [mask].
Is the window open? <extra_id_0>,The window is open.
What color is the toothbrush? <extra_id_0>,The color of the toothbrush is [mask].
What is the child doing? <extra_id_0>,The child is doing [mask].
Is she brushing? <extra_id_0>,She is brushing.
Is the man smiling? <extra_id_0>,The man is smiling.
What is the business man doing in the picture? <extra_id_0>,The business man is doing [mask].
Does his tie pair well with his suit? <extra_id_0>,His tie pairs well with his suit.
Does the man look happy? <extra_id_0>,The man looks happy.
Is this photo in color? <extra_id_0>,This photo is in color.
Is the man wearing a plain tie? <extra_id_0>,The man is wearing a plain tie.
"Judging from the dress, was this taken in a Latin American country?",<BLANK>
"Judging from the dress, was this taken in a Latin American country? <extra_id_0>",This dress is from Latin America.
What colors are shown in this picture? <extra_id_0>,The colors are [mask].
Are the men on the sidewalk? <extra_id_0>,The men are on the sidewalk.
Was this photo taken recently? <extra_id_0>,This photo was taken recently.
Does the guy have a tattoo? <extra_id_0>,The guy has a tattoo.
What is this man riding on? <extra_id_0>,The man is riding on [mask].
How many tattoos can be seen on this man's body? <extra_id_0>,There are [mask] tattoos.
What color is his hat? <extra_id_0>,The color of his hat is [mask].
Is the man's visor providing his face enough protection? <extra_id_0>,The visor is not providing enough protection.
What color is the jacket? <extra_id_0>,The color of the jacket is [mask].
Is the man riding on a dirt path? <extra_id_0>,The man is riding on dirt.
What is the man riding on? <extra_id_0>,The man is riding on [mask].
What is on the pillow? <extra_id_0>,The pillow is [mask].
How many pieces of furniture which are used for sleeping are featured in this picture? <extra_id_0>,There are [mask] pieces of furniture.
Are the walls done in a summery color? <extra_id_0>,The walls are summery.
Is the curtain patterned? <extra_id_0>,The curtain is patterned.
What is sitting on the bench? <extra_id_0>,The animal on the bench is [mask].
Are the windows the same size? <extra_id_0>,The windows are the same size.
What is this person doing? <extra_id_0>,This person is doing [mask].
How many people are in this image? <extra_id_0>,There are [mask] people in this image.
Is there a shadow of a tree in the foreground? <extra_id_0>,The shadow of a tree.
What is the man doing? <extra_id_0>,The man is doing [mask].
What color is the sky? <extra_id_0>,The sky is [mask].
What is the person wearing? <extra_id_0>,The person is wearing [mask].
Did someone forget his luggage in the snow? <extra_id_0>,This person forgot his luggage.
What color is his coat? <extra_id_0>,The color of his coat is [mask].
Is it daytime? <extra_id_0>,It is daytime.
What is she holding? <extra_id_0>,The woman is holding [mask].
Is the person wearing a hat? <extra_id_0>,The person is wearing a hat.
What is the dog riding on? <extra_id_0>,The dog is riding on [mask].
Is the dog wearing a collar? <extra_id_0>,The dog is wearing a collar.
Is it a clear day? <extra_id_0>,The sky is clear.
Is there a body of water here? <extra_id_0>,There is no body of water.
What is in the water? <extra_id_0>,The water is [mask].
"What does the green light, on the TV, indicate? <extra_id_0>",The green light is [mask].
Is the light on? <extra_id_0>,The light is on.
What room of the house is this? <extra_id_0>,The room of the house is [mask].
What is the size of the TV? <extra_id_0>,The size of the TV is [mask].
Is the room messy? <extra_id_0>,The room is messy.
Is this a TV screen? <extra_id_0>,This is a TV screen.
How big is the TV?,<BLANK>
How big is the TV? <extra_id_0>,The TV is big.
What companion object to the TV can be seen in the bottom right of the picture? <extra_id_0>,The companion object to the TV is [mask].
What is the small computer on the left called? <extra_id_0>,The computer on the left is [mask].
What is above the TV? <extra_id_0>,The TV is above [mask].
What is on the display? <extra_id_0>,The display is [mask].
Is there a laptop in the image? <extra_id_0>,This laptop is not in the image.
Is it a monitor or a screen projection? <extra_id_0>,This is a screen projection.
What is on the TV screen? <extra_id_0>,[mask] is on the TV screen.
What is the title of the presentation in the picture? <extra_id_0>,The title of the presentation is [mask].
What color is the bear? <extra_id_0>,The bear is [mask].
Is the animal a mammal? <extra_id_0>,The animal is a mammal.
What is this? <extra_id_0>,What is this? What is this?
Are there rocks in the picture? <extra_id_0>,There are rocks in the picture.
Has the sheep recently been shaved? <extra_id_0>,The sheep has recently been shaved.
How many sheeps are this? <extra_id_0>,There are [mask] sheeps.
Are there three sheep? <extra_id_0>,There are three sheep.
What is the man playing? <extra_id_0>,The man is playing [mask].
Is the man having a good time? <extra_id_0>,The man is having a good time.
What does the man have on his face? <extra_id_0>,The man has [mask] on his face.
What is in front of the giraffes? <extra_id_0>,The animal in front of the giraffes is [mask].
What do these giraffes have in common? <extra_id_0>,They have in common [mask].
Could this photo be from a zoo? <extra_id_0>,This photo is from a zoo.
Are the animals eating? <extra_id_0>,The animals are eating.
Where is the giraffe? <extra_id_0>,The giraffe is in [mask].
Is there a zebra? <extra_id_0>,There is a zebra.
What is the giraffe standing behind? <extra_id_0>,The giraffe is standing behind [mask].
Is the giraffe eating the tree? <extra_id_0>,The giraffe is eating the tree.
Are both giraffes standing? <extra_id_0>,Both giraffes are standing.
Are they at a zoo? <extra_id_0>,This animal is not at a Zoo.
What is on the ground next to the giraffe on the right? <extra_id_0>,The ground next to the giraffe is [mask].
Are some of the trees dead? <extra_id_0>,Some of the trees are dead.
Are any of the animals eating? <extra_id_0>,No animals are eating.
Is the giraffe in the shade? <extra_id_0>,The giraffe is in the shade.
Are these giraffes living free range? <extra_id_0>,These giraffes are free range.
How many giraffes are there? <extra_id_0>,There are [mask] giraffes.
Is there a rock near the giraffe? <extra_id_0>,There is a rock near the giraffe.
How many animals are in this photo? <extra_id_0>,There are [mask] animals in this photo.
Why is the man on the street? <extra_id_0>,The man is on the street because [mask].
How is the man sitting?,<BLANK>
How is the man sitting? <extra_id_0>,The man is sitting because [mask].
"What does the word in the upper-left corner, behind the window, translate to in English? <extra_id_0>",The word in the upper-left corner is [mask].
How many people are on the boat? <extra_id_0>,There are [mask] people on the boat.
What color are the leaves? <extra_id_0>,The color of the leaves is [mask].
What type of watercraft is that? <extra_id_0>,The watercraft is [mask].
Where are the two blue coolers? <extra_id_0>,The two blue coolers are in [mask].
What kind of room is this? <extra_id_0>,The room is [mask].
Are they moving? <extra_id_0>,They are not moving.
What color is the umbrella? <extra_id_0>,The color of the umbrella is [mask].
Is this man angry? <extra_id_0>,This man is angry.
Which hand holds the umbrella? <extra_id_0>,The [mask] hand holds the umbrella.
Are there flowers in the vase? <extra_id_0>,There are flowers in the vase.
What is the vase sitting on? <extra_id_0>,The vase is sitting on [mask].
Is the sun to the right or left of this flower? <extra_id_0>,The sun is to the left.
Are the flowers open? <extra_id_0>,The flowers are open.
What color is the vase? <extra_id_0>,The color of the vase is [mask].
Are all the flowers white? <extra_id_0>,The flowers are white.
Is the man standing on both foot? <extra_id_0>,The man is standing on both foot.
Was this picture likely taken recently? <extra_id_0>,This picture was likely taken recently.
Do the gentleman's socks match his shoes and belt? <extra_id_0>,The gentleman's socks match his shoes.
What is the zebra eating? <extra_id_0>,The zebra is eating [mask].
Are the zebras facing the same direction? <extra_id_0>,The zebras are facing north.
What is the tree covered with? <extra_id_0>,The tree is covered with [mask].
Is this a horse? <extra_id_0>,This horse is not a horse.
What is the animal eating? <extra_id_0>,The animal is eating [mask].
How old is animal? <extra_id_0>,The animal is [mask] years old.
Are they drinking wine at the child's party? <extra_id_0>,They are drinking wine.
Is the man wearing glasses? <extra_id_0>,The man is wearing glasses.
What is the man holding? <extra_id_0>,The man is holding [mask].
What is the man cutting? <extra_id_0>,The man is cutting [mask].
What is the fruit? <extra_id_0>,The fruit is [mask].
Is this a good dessert? <extra_id_0>,This dessert is not good.
What is the name of the type of person that would make this food? <extra_id_0>,The name of the type of person is [mask].
What type of ice cream is on the plate? <extra_id_0>,The ice cream is [mask].
How many people are wearing shorts in the forefront of this photo? <extra_id_0>,There are [mask] people wearing shorts.
Is this an indoor or outdoor photo? <extra_id_0>,This photo is an indoor photo.
Are those kites in the air? <extra_id_0>,Kites are in the air.
Is this a hot dog? <extra_id_0>,This is a hot dog.
What color is the napkin? <extra_id_0>,The napkin is [mask].
Is there ketchup on the hot dog? <extra_id_0>,There is ketchup.
Has this hot dog been grilled? <extra_id_0>,This hot dog has not been grilled.
Have you tried a hot dog like this before? <extra_id_0>,This hot dog is delicious.
What's missing from this hot dog? <extra_id_0>,The hot dog is missing [mask].
What is the hog dog sitting on? <extra_id_0>,The hog dog is sitting on [mask].
Is this a toy-sized truck? <extra_id_0>,This truck is toy-sized.
What is the sky full of? <extra_id_0>,The sky is full of [mask].
Where are the trucks? <extra_id_0>,The trucks are in [mask].
What is the color of the carpet? <extra_id_0>,The color of the carpet is [mask].
Is there a carpet on the floor? <extra_id_0>,The floor is carpeted.
What color is the refrigerator? <extra_id_0>,The refrigerator is [mask].
What is this device? <extra_id_0>,The device is [mask].
