Question,Template
What is this photo taken looking through?,This photo is taken looking mask through.
What position is this man playing?,This man is playing mask.
What color is the players shirt?,The players shirt is mask.
What color is the snow?,The snow is mask.
What is the person doing?,The person is doing mask.
What color is the persons headwear?,The persons headwear is mask.
What is in the person's hand?,Mask is in the person's hand.
What is the white streak?,The white streak is mask.
What color is the toothbrush?,The toothbrush is mask.
What is the child doing?,The child is doing mask.
What is the business man doing in the picture?,The business man is doing mask in the picture.
What colors are shown in this picture?,Mask are shown in this picture.
What is this man riding on?,This man is riding on mask.
How many tattoos can be seen on this man's body?,Mask can be seen on this man's body.
What color is his hat?,His hat is mask.
What color is the jacket?,The jacket is mask.
What is the man riding on?,The man is riding on mask.
What is on the pillow?,Mask is on the pillow.
How many pieces of furniture which are used for sleeping are featured in this picture?,Mask are used for sleeping are featured in this picture.
What is sitting on the bench?,Mask is sitting on the bench.
What is this person doing?,This person is doing mask.
How many people are in this image?,Mask are in this image.
What is the man doing?,The man is doing mask.
What color is the sky?,The sky is mask.
What is the person wearing?,The person is wearing mask.
What color is his coat?,His coat is mask.
What is she holding?,She is holding mask.
What is the dog riding on?,The dog is riding on mask.
What is in the water?,Mask is in the water.
"What does the green light, on the TV, indicate?",Mask is in the water.
What room of the house is this?,This is mask.
What is the size of the TV?,The size of the TV is mask.
What companion object to the TV can be seen in the bottom right of the picture?,Mask can be seen in the bottom right of the picture.
What is the small computer on the left called?,The small computer on the left is called mask.
What is above the TV?,Mask is above the TV.
What is on the display?,Mask is on the display.
What is on the TV screen?,Mask is on the TV screen.
What is the title of the presentation in the picture?,The title of the presentation in the picture is mask.
What color is the bear?,The bear is mask.
What is this?,This is mask.
How many sheeps are this?,This are mask.
What is the man playing?,The man is playing mask.
What does the man have on his face?,The man is playing mask.
What is in front of the giraffes?,Mask is in front of the giraffes.
What do these giraffes have in common?,These giraffes have mask in common.
Where is the giraffe?,Is the giraffe in mask.
What is the giraffe standing behind?,The giraffe is standing mask behind.
What is on the ground next to the giraffe on the right?,Mask is on the ground next to the giraffe on the right.
How many giraffes are there?,There are mask.
How many animals are in this photo?,Mask are in this photo.
Why is the man on the street?,Is the man on the street because of mask.
